Date,Name,Type,Details
,,,,
,,,,
15-Aug,Thursday,Assumption of Mary,Christian,
16-Aug,Friday,Hawaii Statehood Day,State holiday,Hawaii
16-Aug,Friday,Bennington Battle Day,State holiday,Vermont
,,,,
19-Aug,Monday,National Aviation Day,Observance,
21-Aug,Wednesday,Senior Citizens Day,Observance,
23-Aug,Friday,Janmashtami,Hindu Holiday,
,,,,
26-Aug,Monday,Women's Equality Day,Observance,
27-Aug,Tuesday,Lyndon Baines Johnson Day,State holiday,Texas
,,,,
,,,,
31-Aug,Saturday,Muharram,Muslim,
,,,,
,,,,
2-Sep,Monday,Ganesh Chaturthi,Hindu Holiday,
2-Sep,Monday,Labor Day,Federal Holiday,
,,,,
,,,,
7-Sep,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,
,,,,
8-Sep,Sunday,National Grandparents Day,Observance,
9-Sep,Monday,California Admission Day,Local observance,California
,,,,
11-Sep,Wednesday,Patriot Day,Observance,
,,,,
,,,,
,,,,
,,,,
,,,,
17-Sep,Tuesday,Constitution Day and Citizenship Day,Observance,
18-Sep,Wednesday,Air Force Birthday,Observance,
20-Sep,Friday,National POW/MIA Recognition Day,Observance,
,,,,
21-Sep,Saturday,National CleanUp Day,Observance,
22-Sep,Sunday,Emancipation Day,Local observance,Ohio
23-Sep,Monday,September Equinox,Season,
,,,,
,,,,
,,,,
,,,,
27-Sep,Friday,Native American Day,Local observance,California
,,,,
29-Sep,Sunday,Navratri,Hindu Holiday,
,,,,
29-Sep,Sunday,Gold Star Mother's Day,Observance,
30-Sep,Monday,Rosh Hashana,State holiday,Texas***
30-Sep,Monday,Rosh Hashana,Jewish holiday,
,,,,
,,,,
,,,,
,,,,
4-Oct,Friday,Feast of St Francis of Assisi,Christian,
,,,,
,,,,
7-Oct,Monday,Dussehra,Hindu Holiday,
,,,,
7-Oct,Monday,Child Health Day,Observance,
,,,,
,,,,
9-Oct,Wednesday,Leif Erikson Day,Observance,
9-Oct,Wednesday,Yom Kippur,State holiday,Texas***
9-Oct,Wednesday,Yom Kippur,Jewish holiday,
,,,,
,,,,
,,,,
13-Oct,Sunday,Navy Birthday,Observance,
13-Oct,Sunday,Chicago Marathon,Sporting event,
14-Oct,Monday,First Day of Sukkot,Jewish holiday,
14-Oct,Monday,Columbus Day,Local observance,Florida
14-Oct,Monday,Columbus Day,Federal Holiday,"All except AK, AR, CA, DE, FL, HI, MI, MN, ND, NM, NV, OR, SD, TX, VT, WA, WY"
14-Oct,Monday,Native Americans' Day,Local observance,South Dakota
14-Oct,Monday,Indigenous People's Day,Local observance,"AK, CA**, MN**, NM, VT, WA**"
,,,,
15-Oct,Tuesday,White Cane Safety Day,Observance,
,,,,
16-Oct,Wednesday,Boss's Day,Observance,
,,,,
18-Oct,Friday,Alaska Day,State holiday,Alaska
19-Oct,Saturday,Sweetest Day,Observance,13 states
20-Oct,Sunday,Last Day of Sukkot,Jewish holiday,
21-Oct,Monday,Shmini Atzeret,Jewish holiday,
22-Oct,Tuesday,Simchat Torah,Jewish holiday,
,,,,
,,,,
25-Oct,Friday,Nevada Day,State holiday,Nevada
,,,,
27-Oct,Sunday,Diwali/Deepavali,"Observance, Hinduism",
,,,,
,,,,
31-Oct,Thursday,Halloween,Observance,
,,,,
1-Nov,Friday,All Saints' Day,Christian,
,,,,
2-Nov,Saturday,All Souls' Day,Christian,
,,,,
3-Nov,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
3-Nov,Sunday,New York City Marathon,Sporting event,
,,,,
9-Nov,Saturday,The Prophet's Birthday,Muslim,
,,,,
10-Nov,Sunday,Marine Corps Birthday,Observance,
11-Nov,Monday,Veterans Day,Federal Holiday,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
28-Nov,Thursday,Thanksgiving Day,Federal Holiday,
,,,,
29-Nov,Friday,State Holiday,State holiday,Georgia
29-Nov,Friday,Presidents' Day,State holiday,New Mexico
29-Nov,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,Indiana
29-Nov,Friday,Day After Thanksgiving,State holiday,20 states
29-Nov,Friday,Family Day,State holiday,Nevada
29-Nov,Friday,Acadian Day,State holiday,Louisiana
29-Nov,Friday,Black Friday,Observance,
29-Nov,Friday,American Indian Heritage Day,State holiday,Maryland
,,,,
1-Dec,Sunday,First Sunday of Advent,Christian,
,,,,
1-Dec,Sunday,Rosa Parks Day,Local observance,"Ohio, Oregon"
,,,,
2-Dec,Monday,Cyber Monday,Observance,
,,,,
,,,,
,,,,
6-Dec,Friday,St Nicholas Day,Observance,
,,,,
7-Dec,Saturday,Pearl Harbor Remembrance Day,Observance,
8-Dec,Sunday,Feast of the Immaculate Conception,Christian,
,,,,
,,,,
,,,,
,,,,
12-Dec,Thursday,Feast of Our Lady of Guadalupe,Christian,
,,,,
13-Dec,Friday,National Guard Birthday,Observance,
15-Dec,Sunday,Bill of Rights Day,Observance,
17-Dec,Tuesday,Pan American Aviation Day,Observance,
17-Dec,Tuesday,Wright Brothers Day,Observance,
,,,,
,,,,
,,,,
21-Dec,Saturday,December Solstice,Season,
23-Dec,Monday,Chanukah/Hanukkah (first day),Jewish holiday,
24-Dec,Tuesday,Christmas Eve,State holiday,"KS**, KY, MI, NC, ND, OK, SC, TX, VA**, WI"
24-Dec,Tuesday,Christmas Eve,"Observance, Christian",
24-Dec,Tuesday,Washington's Birthday,State holiday,"Georgia, Indiana"
25-Dec,Wednesday,Christmas Day,Federal Holiday,
26-Dec,Thursday,Kwanzaa (first day),Observance,
26-Dec,Thursday,Day After Christmas Day,State holiday,"KS, NC, SC, TX"
30-Dec,Monday,Last Day of Chanukah,Jewish holiday,
31-Dec,Tuesday,New Year's Eve,Observance,
31-Dec,Tuesday,New Year's Eve,State holiday,"LA, MI, WI"
